normalization_type,avg_rank,median_rank,hit_rate_R@1,hit_rate_R@5,hit_rate_R@10,hit_rate_R@25,hit_rate_R@50,hit_rate_R@100,avg_change,improved_percent,worsened_percent,unchanged_percent
baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
docstring_normalized_gold,1.0731707317073171,1.0,0.926829268292683,1.0,1.0,1.0,1.0,1.0,-0.07317073170731707,7.317073170731707,0.0,92.6829268292683
function_normalized_gold,17.140243902439025,4.0,0.2621951219512195,0.5792682926829268,0.6646341463414634,0.8109756097560976,0.8780487804878049,0.9634146341463414,-16.140243902439025,73.78048780487805,0.0,26.21951219512195
